Frame_ID,QR_ID,QR_2D_Coordinates,Distance,Yaw,Pitch,Roll
12,1,"[[245.0, 156.0], [286.0, 154.0], [285.0, 194.0], [245.0, 194.0]]",1.179728862391822,-1.0872930268159962,2.0550291614643865,172.47555007558032
13,1,"[[210.0, 140.0], [253.0, 139.0], [255.0, 181.0], [214.0, 182.0]]",1.1716755470732776,-1.991574336043153,-3.245124912715655,-167.84942118594847
14,1,"[[207.0, 128.0], [251.0, 127.0], [252.0, 170.0], [208.0, 170.0]]",1.1256439918503864,-1.6206007577682904,-3.7917942028958427,177.75083238732765
15,1,"[[229.0, 152.0], [273.0, 154.0], [273.0, 199.0], [227.0, 197.0]]",1.0747850568542132,2.2281389919425116,-0.9696626220827929,-176.24419291040806
16,1,"[[184.0, 148.0], [232.0, 150.0], [229.0, 198.0], [182.0, 196.0]]",1.008209707049058,3.0894232608409906,3.6718520263685877,-179.65321440655384
17,1,"[[16.0, 162.0], [76.0, 168.0], [72.0, 224.0], [11.0, 220.0]]",0.89088395820924,-2.695255056727844,-43.73167769166959,-160.1737128005757
18,1,"[[90.0, 160.0], [151.0, 165.0], [147.0, 223.0], [87.0, 219.0]]",0.8494041258558439,3.6946543177134465,-3.933615978675427,-179.10820560994998
19,1,"[[95.0, 155.0], [153.0, 160.0], [149.0, 219.0], [90.0, 216.0]]",0.8271859537806471,-4.91614059605681,-45.146061162995295,-159.67500980435634
20,1,"[[91.0, 172.0], [151.0, 178.0], [145.0, 237.0], [85.0, 233.0]]",0.8199651914762104,-2.1841465658519703,-43.4547892311123,-161.18782864247083
21,1,"[[94.0, 176.0], [156.0, 183.0], [150.0, 241.0], [89.0, 237.0]]",0.8247052283375046,-0.3773322655167249,-38.084459801250894,-162.64142311466662
22,1,"[[129.0, 192.0], [190.0, 199.0], [182.0, 256.0], [122.0, 251.0]]",0.8213379003088028,1.4909842211112274,-34.98269436352582,-160.6129673616886
23,1,"[[135.0, 197.0], [195.0, 203.0], [189.0, 262.0], [128.0, 257.0]]",0.8090059264738445,5.216456709398203,-0.01771919054961688,177.06018244232706
24,1,"[[147.0, 207.0], [209.0, 212.0], [203.0, 272.0], [141.0, 269.0]]",0.7810357684614495,-0.43787742667438745,-35.94287717465859,-162.229515603297
25,1,"[[157.0, 199.0], [221.0, 204.0], [215.0, 264.0], [152.0, 260.0]]",0.7810274938658334,0.6454764909329751,-29.103674301445455,-160.20788450535017
26,1,"[[207.0, 222.0], [269.0, 224.0], [267.0, 284.0], [205.0, 283.0]]",0.7797306831515599,1.1772543227614793,-2.661465442833895,176.70524989311068
27,1,"[[253.0, 244.0], [314.0, 247.0], [313.0, 307.0], [251.0, 304.0]]",0.7790863349248794,1.6856975774508571,-14.415222110810246,176.5505925389535
28,1,"[[338.0, 260.0], [399.0, 260.0], [400.0, 320.0], [340.0, 321.0]]",0.7652016273469092,-1.5081759166553148,-13.530168992017975,-178.62596999943696
30,1,"[[524.0, 270.0], [591.0, 269.0], [589.0, 332.0], [525.0, 333.0]]",0.7053556914019669,-0.8671774804540793,1.9757469511343715,-160.6691421671742
31,1,"[[536.0, 267.0], [600.0, 264.0], [602.0, 327.0], [538.0, 327.0]]",0.7262450685194779,-0.7257116852520028,10.458302380429236,-161.89274592418963
33,1,"[[602.0, 232.0], [666.0, 228.0], [671.0, 291.0], [606.0, 295.0]]",0.7298989774361067,-3.2562760847169594,4.696827138165985,173.81459931967197
34,1,"[[645.0, 240.0], [709.0, 236.0], [714.0, 300.0], [649.0, 303.0]]",0.7341151758167154,-2.9897622778390915,3.411588946181266,175.01198436624307
35,1,"[[681.0, 256.0], [745.0, 251.0], [751.0, 317.0], [686.0, 319.0]]",0.7278887301533832,-1.2358353945081642,32.40230863806013,-168.21816843895303
36,1,"[[680.0, 289.0], [743.0, 286.0], [750.0, 349.0], [685.0, 352.0]]",0.7366426073018589,-2.6950020753381163,0.6666347250720309,169.90963617023706
37,1,"[[708.0, 320.0], [771.0, 315.0], [780.0, 376.0], [714.0, 382.0]]",0.7566013086143005,-4.956650005851725,8.365757600120057,166.81295862040236
38,1,"[[706.0, 310.0], [769.0, 304.0], [776.0, 366.0], [712.0, 371.0]]",0.7694019082624094,-5.079348591728828,9.217964576422746,173.42554518942873
41,1,"[[684.0, 292.0], [744.0, 288.0], [751.0, 349.0], [690.0, 353.0]]",0.7680238713521168,-3.852468276567759,-2.106411600283647,173.1330515805208
42,1,"[[676.0, 305.0], [735.0, 300.0], [741.0, 359.0], [682.0, 363.0]]",0.8019246522372097,-4.411151799200931,28.19811609977719,-174.00238594481095
43,1,"[[658.0, 320.0], [716.0, 316.0], [721.0, 373.0], [664.0, 377.0]]",0.8192863601085918,-4.098928606982655,1.9490185626887266,173.9043324019141
44,1,"[[642.0, 323.0], [699.0, 320.0], [703.0, 376.0], [646.0, 379.0]]",0.831438953122511,-3.0998842414134304,4.9947374103697175,173.38701804612234
45,1,"[[622.0, 326.0], [677.0, 326.0], [680.0, 380.0], [624.0, 381.0]]",0.8411901582082311,-0.4961417349783611,1.047050218266705,168.71032115646892
47,1,"[[576.0, 276.0], [628.0, 276.0], [629.0, 325.0], [575.0, 328.0]]",0.8804413618321637,-0.9504220964097847,12.196145004572353,165.63228476210276
48,1,"[[532.0, 262.0], [584.0, 260.0], [588.0, 310.0], [535.0, 312.0]]",0.8787739556052703,-2.2714628009967415,0.06711572368994688,165.6879901966792
